nquest,anmutuo11,anmutuo12,anmutuo13,debgar11_1,debgar12_1,debgar13_1,debgar11_2,debgar12_2,debgar13_2,debgar11_3,debgar12_3,debgar13_3,debm11,debm12,debm13,debpers11,debpers12,debpers13,debrf11,debrf12,debrf13,ltv11,ltv12,ltv13,mutuodu11,mutuodu12,mutuodu13,mutuoin11,mutuoin12,mutuoin13,ratacon11,ratacon12,ratacon13,rifinanz11,rifinanz12,rifinanz13,rippag11,rippag12,rippag13,sospecome11,sospecome12,sospecome13,sospens11,sospens12,sospens13,stesmut11,stesmut12,stesmut13,taxfis11,taxfis12,taxfis13,taxvar11,taxvar12,taxvar13,tipotax11,tipotax12,tipotax13,tmutuoab11,tmutuoab12,tmutuoab13,whytipo11,whytipo12,whytipo13,tdebita11,tdebita12,tdebita13
717669,2010,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,30,,,135000,,,1,,,2,,,,,,,,,2,,,,,,,,,7,,,2,,,8400,,,4,,,123000,,
717858,2014,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,25,,,70000,,,2,,,2,,,,,,,,,2,,,,,,,,,4.5,,,2,,,1500,,,4,,,22719.917171,,
718600,2014,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,10,,,70000,,,1,,,2,,,,,,,,,2,,,,,,,,,2.5,,,2,,,2000,,,1,,,19028.417426,,
720117,2006,,,1,,,0,,,0,,,2,,,,,,2,,,30,,,15,,,120000,,,1,,,2,,,,,,,,,2,,,,,,,,,2.5,,,2,,,9600,,,1,,,60000,,
720138,2012,,,1,,,0,,,0,,,2,,,,,,2,,,20,,,5,,,30000,,,,,,2,,,,,,,,,2,,,,,,5.7,,,,,,1,,,7800,,,1,,,27214.532707,,
720139,2001,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,15,,,50000,,,,,,2,,,,,,,,,2,,,,,,6,,,,,,1,,,3000,,,3,,,5000,,
720634,2006,,,0,,,0,,,1,,,2,,,2,,,2,,,100,,,17,,,83000,,,,,,2,,,,,,,,,2,,,,,,5.5,,,,,,1,,,6700,,,3,,,50502.093052,,
721871,2000,2010,,1,1,,0,0,,0,0,,1,2,,,,,2,2,,60,60,,20,15,,40000,30000,,,,,2,2,,,,,,,,2,2,,,,,2,2,,,,,1,1,,3000,3000,,1,1,,15000,25000,
722141,2006,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,30,,,132000,,,1,,,2,,,,,,,,,2,,,,,,,,,4.35,,,2,,,6000,,,3,,,90000,,
724042,1999,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,15,,,110000,,,1,,,2,,,,,,,,,2,,,,,,5,,,3.75,,,2,,,12000,,,3,,,6000,,
724209,2012,,,1,,,0,,,0,,,1,,,,,,2,,,45,,,13,,,85000,,,,,,2,,,,,,,,,2,,,,,,8.7,,,,,,1,,,9628.3055665,,,1,,,70000,,
728160,2011,,,1,,,0,,,0,,,1,,,,,,2,,,25,,,30,,,160000,,,2,,,2,,,,,,,,,2,,,,,,,,,1.5,,,2,,,10000,,,2,,,135000,,
731660,2006,,,1,,,0,,,0,,,1,,,,,,2,,,50,,,15,,,85000,,,,,,2,,,,,,,,,2,,,,,,3.5,,,,,,1,,,6000,,,4,,,48000,,
