nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,etalav2,etapen,coppu,prevcom,coppip,mcontrib,anprevcom,mprevcom1
38261,1,2,2,,1,18,1,36,,,,,,,,
38261,2,0,,,,,,,,,,,,,,
38272,1,1,2,,,23,1,40,,,,,,,,
38316,1,1,2,,,30,1,24,,70,80,,,,,
38316,2,1,2,,,28,1,20,,70,70,,,,,
38316,3,1,,,2,28,2,,,,,,,,,
38316,4,0,,,,,,,,,,,,,,
38316,5,0,,,,,,,,,,,,,,
38319,1,2,2,,1,14,1,42,33,62,80,2,,,,
38349,1,1,2,,,25,1,37,,,,,,,,
38349,2,1,2,,,20,1,5,,,,,,,,
38349,3,5,1,1,1,20,1,20,28,,,3,,,,
38554,1,4,2,,1,16,1,30,39,60,60,2,,,,
38554,2,2,1,2,1,18,1,14,38,60,60,2,,,,
38554,3,0,,,,,,,,,,,,,,
38554,4,,,,,,,,,,,,,,,
38800,1,4,2,,1,25,1,30,,,,,,,,
38877,1,2,2,,1,20,1,40,,,,,,,,
38877,2,1,2,,,22,1,7,,,,,,,,
38885,1,1,2,,,17,1,36,,,,,,,,
38885,2,1,2,,,28,1,34,,66,50,,,,,
38939,1,0,,,,,,,,,,,,,,
38939,2,3,1,4,3,20,1,20,32,,,,,,,
38939,3,1,1,2,,25,1,20,,65,60,,,,,
38939,4,,,,,,,,,,,,,,,
38939,5,,,,,,,,,,,,,,,
38940,1,1,2,,,14,1,35,,,,,,,,
38940,2,1,2,,,21,1,36,,,,,,,,
38957,1,1,2,,,22,1,36,,,,,,,,
38957,2,0,,,,,,,,,,,,,,
38979,1,2,1,2,3,15,1,35,,,,,,,,
38992,1,2,2,,1,24,1,40,,,,,,,,
38992,2,1,2,,,21,1,35,,,,,,,,
38992,3,1,2,,,26,1,,,,,,,8,,
38995,1,1,2,,,26,1,43,,,,,,,,
39056,1,6,2,,1,20,1,38,39,62,85,,,,,
39056,2,1,1,6,,37,1,18,,,,2,,,,
39058,1,0,,,,,,,,,,,,,,
39058,2,2,2,,1,16,1,38,,,,,,,,
39086,1,1,2,,,23,1,54,,,,,,,,
39086,2,1,2,,,20,1,40,,,,,,,,
39095,1,1,2,,,20,1,35,,63,70,2,,,,
