nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
878452,42723.669813,0,0,0,32900,22100,22100,0,10800,10800,0,0,0,0,0,0,0,9823.6698133,9600,0,9600,223.66981335,223.66981335,0,0,0
878475,22858.625031,0,0,0,21190,21190,21190,0,0,0,0,0,0,0,0,0,0,1668.6250306,3600,0,3600,-1931.374969,0,0,0,1931.3749694
878502,18600,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
878503,12813.457307,0,0,0,-3500,0,0,0,-3500,0,0,-3500,0,3500,14000,14000,0,2313.4573071,6000,0,6000,-3686.542693,43.013425644,0,0,3729.5561185
878506,78599.526851,0,0,0,60450,60450,60450,0,0,0,0,0,0,0,0,0,0,18149.526851,17600,0,17600,549.52685129,86.026851287,0,463.5,0
878510,32401.616111,0,0,0,22750,22750,22750,0,0,0,0,0,0,0,0,0,0,9651.6161108,9600,0,9600,51.616110772,51.616110772,0,0,0
878513,55749.202232,32000,32000,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,10749.202232,10800,0,10800,-50.79776814,137.64296206,0,0,188.4407302
878517,28202.580806,28200,28200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5808055386,0,0,0,2.5808055386,2.5808055386,0,0,0
878518,41816.547426,34000,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7816.5474262,12000,0,12000,-4183.452574,17.205370257,0,0,4200.657944
878526,51849.472498,0,0,0,40586,40586,40586,0,0,0,0,0,0,0,0,0,0,11263.472498,8400,0,8400,2863.4724985,232.27249848,0,2631.2,0
878552,94694.520138,0,0,0,30680,30680,30680,0,0,0,0,0,0,0,36000,12000,24000,28014.520138,27950,2250,25700,64.520138465,64.520138465,0,0,0
878555,28605.161611,0,0,0,28600,28600,28600,0,0,0,0,0,0,0,0,0,0,5.1616110772,0,0,0,5.1616110772,5.1616110772,0,0,0
878572,10200,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,2400,2400,0,2400,0,0,0,0,0
878573,16600,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
878582,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
878598,18473.122824,16000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473.1228236,2400,0,2400,73.122823594,73.122823594,0,0,0
878599,35800,14000,14000,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
878617,170250.63334,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,80000,0,90250.633335,54000,0,54000,36250.633335,17205.370257,4261.5482363,14783.714842,0
878648,14163.232222,0,0,0,10660,10660,10660,0,0,0,0,0,0,0,0,0,0,3503.2322215,3400,0,3400,103.23222154,103.23222154,0,0,0
878684,32716.90821,16000,16000,0,7000,7000,7000,0,0,0,0,0,0,0,0,0,0,9716.9082098,8900,0,8900,816.90820981,55.917453337,0,760.99075648,0
878727,20453.31428,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,4853.3142804,4800,0,4800,53.314280384,53.314280384,0,0,0
878738,39803.242872,35000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4803.2428724,4800,0,4800,3.2428723948,3.2428723948,0,0,0
