nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
31724,1,30000,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,9500,9500,60.218795901,0,0,0,60.218795901,9560.2187959,39560.218796,0,0
31724,2,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0
31724,5,0,0,20800,0,100,0,0,0,0,20800,0,100,20900,0,0,0,0,0,0,0,0,0,0,20900,0,0
31757,1,0,0,10010,0,0,0,0,0,0,10010,0,0,10010,0,0,4200,4200,43.013425644,274.64458203,0,0,317.65800767,4517.6580077,14527.658008,0,0
31799,1,0,0,7670,0,0,0,0,0,0,7670,0,0,7670,0,0,4800,4800,12.214120003,1020.6668149,0,0,1032.8809349,5832.8809349,13502.880935,0,0
31799,2,0,0,18850,0,0,0,0,0,0,18850,0,0,18850,0,0,0,0,0,0,0,0,0,0,18850,0,0
31860,1,16000,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,6000,6000,51.616110772,0,0,471.1018255,-419.4857147,5580.5142853,21580.514285,0,0
31860,2,19000,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0
31912,1,0,0,6630,0,0,0,0,0,0,6630,0,0,6630,0,0,4800,4800,43.013425644,0,0,0,43.013425644,4843.0134256,11473.013426,0,0
31912,2,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,0,0,0,0,0,0,0,0,13000,0,0
32001,1,0,0,13200,0,0,0,0,0,0,13200,0,0,13200,0,0,6000,6000,4.4355417181,0,0,0,4.4355417181,6004.4355417,19204.435542,0,0
32001,2,0,0,9600,0,0,0,0,0,0,9600,0,0,9600,0,0,0,0,0,0,0,0,0,0,9600,0,0
32034,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,4800,4800,33.641908248,0,0,0,33.641908248,4833.6419082,20433.641908,0,0
32044,1,0,0,7475,0,0,0,0,0,0,7475,0,0,7475,0,0,0,0,94.629536416,0,0,0,94.629536416,94.629536416,7569.6295364,0,0
32052,1,0,0,13200,0,0,0,0,0,0,13200,0,0,13200,0,0,6000,6000,15.484833232,0,0,0,15.484833232,6015.4848332,19215.484833,0,0
32052,2,0,0,12000,0,0,0,0,0,0,12000,0,0,12000,0,0,0,0,0,0,0,0,0,0,12000,0,0
32057,1,0,0,13200,0,0,0,0,0,0,13200,0,0,13200,0,0,9600,9600,24.501408742,0,0,0,24.501408742,9624.5014087,22824.501409,0,0
32057,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,10000,10000,0
