nquest,Y,CN,CD1,CD2,CD,C,S
507329,43557.119303,27600,0,3500,3500,31100,12457.119303
507336,76026.187959,30000,0,7000,7000,37000,39026.187959
507359,88402.250929,37200,0,0,0,37200,51202.250929
507360,48859.321163,24000,0,0,0,24000,24859.321163
507419,56309.50472,20700,0,0,0,20700,35609.50472
507426,23407.20537,20400,0,0,0,20400,3007.2053703
507444,20454.196916,18856,0,0,0,18856,1598.1969163
507509,13241.238683,10800,0,220,220,11020,2221.2386827
507541,48718.717055,43200,0,1000,1000,44200,4518.7170548
507542,20744.20537,19800,0,6500,6500,26300,-5555.79463
507544,62404.260852,37700,0,2000,2000,39700,22704.260852
507547,16443.013426,12000,0,0,0,12000,4443.0134256
