nquest,quest,nquestp,ncomp,vitgen,ngen,figli,nfigli,parnoit,anconv,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,contint,CAPI
893240,2,,2,2,,1,2,,1961,1,1,1,1,2,1,2,1,2,1
893251,2,,3,1,4,2,,,1999,2,1,2,1,2,1,2,1,2,1
893252,2,,3,1,1,2,,2,,3,1,3,1,,,,,3,1
893271,1,,1,2,,1,2,,,1,1,1,1,,,,,1,1
893287,2,,3,1,1,2,,,1975,2,1,1,1,1,1,2,1,1,1
893288,2,,2,2,,2,,2,,4,1,2,,,,,,1,1
893290,2,,3,2,,1,1,,1978,2,1,1,1,2,1,2,1,1,1
893299,2,,4,1,2,2,,,1987,3,1,2,1,2,1,2,1,2,1
893308,2,,1,2,,1,3,2,,2,1,7,1,,,,,1,1
893311,2,,2,1,2,2,,,2005,3,1,2,1,7,1,7,1,1,1
893318,2,,1,1,2,2,,2,,2,1,2,1,,,,,1,1
893320,1,,1,2,,2,,,,1,1,1,1,,,,,1,1
893323,1,,2,2,,1,2,,,1,1,1,1,,,,,1,1
893325,1,,2,2,,1,4,,1992,1,1,1,1,1,1,1,1,1,1
893326,1,,2,2,,1,2,,1982,1,1,1,1,1,1,1,1,1,1
893327,1,,1,1,2,1,2,2,,2,1,2,1,,,,,1,1
893330,1,,5,2,,2,,2,,1,1,1,,,,,,1,1
893331,1,,5,2,,2,,,1997,1,1,1,1,1,2,1,2,1,1
893372,1,,2,2,,2,,,1983,2,1,2,1,2,1,2,1,3,1
893373,1,,2,1,1,1,2,,1965,1,1,1,1,1,1,1,1,3,1
893382,2,,4,1,3,2,,,2001,4,1,3,1,4,1,5,1,1,1
893384,2,,2,2,,1,1,,1973,1,1,2,1,2,1,2,1,1,1
893391,2,,3,1,3,2,,,1978,2,1,2,1,2,1,2,1,2,1
893393,2,,2,2,,1,1,,1984,2,1,2,1,2,2,2,2,1,1
893396,2,,3,1,4,2,,,2000,4,1,5,1,4,1,2,1,1,1
893398,2,,3,2,,2,,2,,2,1,2,,,,,,1,1
893402,2,,4,1,2,2,,,1998,3,1,2,1,3,1,4,1,1,1
893421,1,,3,2,,1,2,,1986,1,1,1,1,1,1,1,1,1,1
893424,1,,3,1,1,2,,2,,2,1,2,1,,,,,1,1
893435,2,,3,1,1,1,2,,1986,2,1,2,1,2,1,2,1,1,1
893439,2,,1,2,,1,2,,,4,1,2,1,,,,,1,0
893444,2,,1,2,,1,2,,,2,1,2,1,,,,,2,1
893445,2,,2,2,,1,1,,1978,2,1,2,1,4,1,3,1,1,0
893449,2,,4,2,,1,1,,1974,2,1,2,,2,1,2,1,1,1
893459,2,,2,2,,1,2,,1968,4,1,3,1,3,1,3,1,3,0
893462,2,,2,2,,1,2,,2012,1,1,1,1,1,1,1,1,1,1
893466,2,,1,1,2,2,,2,,4,1,3,1,,,,,1,1
893472,1,,1,2,,2,,2,,1,1,1,1,,,,,2,1
893473,1,,4,1,3,2,,,1986,2,1,2,1,2,1,2,1,2,1
893478,1,,1,2,,2,,2,,2,1,2,1,,,,,4,1
893480,1,,2,2,,2,,,,1,1,1,1,,,,,2,1
893481,1,,1,2,,1,1,,,1,1,1,1,,,,,2,1
893483,1,,4,1,2,2,,,1988,2,1,3,1,2,1,2,1,4,1
893488,2,,3,1,2,2,,,1993,5,1,5,1,5,1,5,1,4,1
893494,2,,3,1,2,2,,2,,1,1,1,1,,,,,1,1
893495,2,,4,2,,2,,,1997,2,1,1,1,1,1,1,1,5,1
893497,2,,4,2,,2,,,1997,2,1,2,1,2,1,2,1,3,1
893500,2,,4,2,,2,,,1998,2,1,2,1,1,1,2,1,2,1
893501,2,,2,2,,2,,,1979,1,1,1,1,1,1,1,1,1,1
893508,2,,4,2,,2,,2,,3,1,2,1,,,,,1,1
893538,2,,2,1,1,2,,,1995,2,1,2,1,2,1,2,1,1,0
893543,2,,4,1,2,2,,2,,3,1,3,1,,,,,1,0
893544,2,,4,1,4,2,,,1986,2,1,2,1,2,1,1,1,1,1
893556,2,,2,1,1,1,1,,1973,2,1,2,1,2,1,2,1,1,0
893558,2,,4,1,4,2,,,2005,2,2,2,2,2,2,2,2,1,1
893563,2,,1,1,2,2,,2,,4,1,5,1,,,,,2,1
893568,2,,2,1,3,2,,,2010,4,1,5,1,4,1,4,1,3,1
893570,1,,4,1,1,2,,2,,2,1,2,,,,,,1,1
893573,1,,1,2,,2,,2,,2,1,2,1,,,,,3,1
893575,1,,1,2,,2,,2,,2,1,2,1,,,,,3,1
893576,1,,1,2,,1,1,,,2,1,1,1,,,,,1,1
893579,1,,2,2,,2,,1,,3,2,3,2,,,,,1,1
893581,1,,2,2,,1,2,,1963,3,1,3,1,3,1,3,1,3,1
893582,1,,2,2,,1,1,,,2,1,7,1,,,,,1,0
893590,2,,5,2,,2,,,1981,1,1,1,1,2,1,1,1,1,1
893593,2,,1,2,,2,,2,,1,1,1,1,,,,,2,1
893594,2,,1,2,,1,2,,,1,1,1,1,,,,,2,1
893595,2,,1,2,,2,,2,,2,1,1,1,,,,,3,1
893596,2,,3,2,,2,,,,7,1,4,1,,,,,3,1
893623,1,,2,2,,1,2,,1971,1,1,1,1,1,1,1,1,3,1
893631,2,,2,2,,2,,2,,2,1,2,1,,,,,1,1
893634,2,,1,2,,1,1,,,1,1,1,1,,,,,1,0
893649,2,,3,2,,2,,,1989,1,1,1,1,1,1,1,1,1,0
893671,1,,4,2,,1,1,2,,4,1,2,1,,,,,1,1
893672,1,,2,2,,1,3,,1960,1,1,4,1,2,1,2,1,1,1
893673,1,,2,1,1,2,,2,,4,1,4,,,,,,2,1
893674,1,,2,2,,1,2,,1968,2,1,4,1,2,1,2,1,1,1
893678,1,,4,2,,1,5,,,2,1,2,1,,,,,1,1
893720,1,,2,2,,1,3,,1951,1,1,1,1,1,1,2,1,2,1
893721,1,,3,1,1,1,1,,1971,2,1,1,1,2,1,1,1,3,1
893728,1,,2,2,,1,2,,1971,1,1,1,1,2,1,2,1,2,1
893729,2,,4,1,3,2,,,1988,1,1,1,1,2,1,2,1,4,1
893738,2,,2,2,,1,1,,1968,1,1,1,1,1,1,1,1,1,1
893739,2,,2,2,,1,1,,,1,1,2,1,,,,,3,1
893748,2,,1,2,,1,1,,,1,1,1,1,,,,,1,1
893750,2,,5,1,2,2,,,1996,1,1,1,1,2,1,2,1,1,1
893751,2,,5,1,1,1,1,,1985,1,2,1,2,3,2,1,2,2,1
893753,2,,4,1,3,2,,,2006,3,1,3,1,7,2,4,1,2,1
893770,1,,1,2,,1,2,,,2,1,1,1,,,,,1,1
893773,1,,1,2,,1,2,2,,1,1,1,1,,,,,2,1
893774,1,,4,1,2,2,,,1976,2,1,2,1,2,1,2,1,2,1
893775,1,,1,2,,2,,2,,2,1,2,1,,,,,1,1
893779,1,,1,2,,1,3,,,2,1,1,1,,,,,1,1
893780,1,,1,2,,1,2,,,2,1,1,1,,,,,1,1
893781,1,,1,1,2,1,1,2,,2,1,2,1,,,,,2,1
893820,1,,2,1,1,2,,2,,1,1,2,,,,,,1,1
